axis,fine_path,fine_label,fine_pitch_mm,coarse_path,coarse_label,coarse_pitch_mm,knot_spacing_mm,knots,support_min_mm,support_max_mm,max_knot_offset_mm,mean_abs_difference_mm_s,median_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_screening_threshold,fraction_above_screening_threshold,max_abs_difference_over_screening_threshold,depth_ranges_above_screening_threshold_mm,fine_variance_share_at_coarse_knots,fine_detail_rms_mm_s,fine_detail_max_abs_mm_s,fine_detail_variance_share
res,res/0-4.BDD,0-4,0.37,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0,4.80155667053,4.01085506374,11.789341242,47.9026666667,0,0,0.60863665056,,1.04368704217,1.70436078312,7.29331558342,0.0067001232816
res,res/0-4.BDD,0-4,0.37,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.123333333333,3.70400847787,3.46072236981,8.61217051248,47.1626666667,0,0,0.444612002246,,1.0588397812,1.92240770723,10.7550861222,0.00848455381233
res,res/0-4.BDD,0-4,0.37,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0,3.61815117133,3.06571868097,7.84995180007,87.1226666667,0,0,0.405261691266,,1.02332394014,2.46569437743,14.1317112155,0.0140291604127
res,res/0-6.BDD,0-6,0.616666666667,res/0-8.BDD,0-8,0.74,0.74,118,10.1626666667,96.7426666667,0.246666666667,1.97034830153,1.74055695302,6.3993035626,96.0026666667,0,0,0.330370510642,,1.01728694486,0.623971759242,4.00269252955,0.000882618811511
res,res/0-6.BDD,0-6,0.616666666667,res/1-0.BDD,1-0,0.986666666667,0.986666666667,88,10.1626666667,96.7426666667,0.246666666667,4.31776555697,4.27075065341,12.109811766,40.7493333333,0,0,0.625181265085,,0.975114342197,1.0797257958,4.3467496356,0.00265736409508
res,res/0-6.BDD,0-6,0.616666666667,res/1-2.BDD,1-2,1.23333333333,1.23333333333,71,10.1626666667,96.7426666667,0,3.84601391973,3.18588586863,12.8421507131,39.7626666667,0,0,0.662989002993,,1.01822168928,1.2242995272,6.33840415091,0.00342046234391
res,res/0-6.BDD,0-6,0.616666666667,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.246666666667,3.99776600657,3.00604225009,12.3132268849,35.9393333333,0,0,0.635682776072,,0.963802370006,1.23726464474,4.4921258776,0.00349320117594
res,res/0-6.BDD,0-6,0.616666666667,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.246666666667,2.56902499603,2.16789286132,8.02920656356,11.766,0,0,0.414515899505,,1.03742540761,1.30554588119,6.33840415091,0.00388171495407
res,res/0-6.BDD,0-6,0.616666666667,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0,2.5504608589,2.09342274029,6.40543065875,15.7126666667,0,0,0.33068682817,,0.955540468392,1.33379915655,4.4921258776,0.00405687333874
res,res/0-6.BDD,0-6,0.616666666667,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.246666666667,4.30964236528,3.5327592145,11.5566294891,14.1093333333,0,0,0.596622671246,,0.935816180869,1.45248891786,6.33840415091,0.00481034646354
res,res/0-6.BDD,0-6,0.616666666667,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.246666666667,3.67502666762,3.5076461242,7.29038546785,54.5626666667,0,0,0.376373514122,,1.0562434375,1.49825336308,7.08224592245,0.00512055241302
res,res/0-6.BDD,0-6,0.616666666667,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0,3.88475412449,3.84753470975,9.70173255085,37.296,0,0,0.500861743092,,1.0715462612,1.7880901251,8.46574315875,0.0072909104709
res,res/0-6.BDD,0-6,0.616666666667,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0.246666666667,2.82114056771,2.65557577064,5.90175102166,63.4426666667,0,0,0.304683858116,,1.03050554491,2.32631985573,10.6585014755,0.0123144224592
res,res/0-8.BDD,0-8,0.74,res/1-0.BDD,1-0,0.986666666667,0.986666666667,88,10.1626666667,96.7426666667,0.246666666667,3.55758847484,2.85816114003,12.220936042,40.7493333333,0,0,0.630918168085,,0.967657374867,1.10546301443,6.61342700336,0.00322088157248
res,res/0-8.BDD,0-8,0.74,res/1-2.BDD,1-2,1.23333333333,1.23333333333,71,10.1626666667,96.7426666667,0.246666666667,4.76703404852,4.24581466036,13.342514414,42.2293333333,0,0,0.688820784493,,1.00015360311,1.39835303599,8.35202079328,0.00515631470142
res,res/0-8.BDD,0-8,0.74,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.37,4.60134817649,4.09539991923,13.1008138193,34.5826666667,0,0,0.676342747141,,0.95104910374,1.45106246758,6.61342700336,0.00551983668242
res,res/0-8.BDD,0-8,0.74,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.37,2.86872136147,2.41600770446,8.12376739277,96.7426666667,0,0,0.419397697833,,1.01182438873,1.64813086634,8.35202079328,0.0071599278364
res,res/0-8.BDD,0-8,0.74,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.37,2.13858649566,1.99052878964,5.42742324536,36.0626666667,0,0,0.280196207525,,0.935714641879,1.52462040799,6.61342700336,0.00612854608032
res,res/0-8.BDD,0-8,0.74,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.246666666667,3.11988803191,1.89072637982,8.9269210529,16.0826666667,0,0,0.460861316839,,0.93416454251,1.6672581165,8.35202079328,0.00732835234783
res,res/0-8.BDD,0-8,0.74,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0,3.50678158323,3.62067277587,8.18807163294,30.1426666667,0,0,0.422717469188,,1.03857011212,1.55235996599,6.61342700336,0.00635144498862
res,res/0-8.BDD,0-8,0.74,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.246666666667,3.33630755893,2.85588359723,9.76573521818,34.8293333333,0,0,0.504165945445,,1.041129679,1.78289489389,6.64486193976,0.00837292617138
res,res/0-8.BDD,0-8,0.74,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0,2.77780943025,2.42178636357,6.30500894234,87.1226666667,0,0,0.32550245562,,1.01040506516,2.64328190476,14.9654477966,0.0184228003953
res,res/1-0.BDD,1-0,0.986666666667,res/1-2.BDD,1-2,1.23333333333,1.23333333333,71,10.1626666667,96.7426666667,0.493333333333,3.80277204806,3.63777373017,9.5035270467,85.396,0,0,0.490629183724,,1.03621463515,1.18815432575,6.31842221564,0.00366189569838
res,res/1-0.BDD,1-0,0.986666666667,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.493333333333,4.65798812172,3.82735493861,12.1940658829,22.3726666667,0,0,0.629530968977,,0.985683934713,1.43612526194,5.97021984326,0.00527846374728
res,res/1-0.BDD,1-0,0.986666666667,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.493333333333,5.05461548124,4.1203220524,15.6477802345,42.2293333333,0,0,0.807832461127,,1.07244045332,2.09802843229,12.5763926305,0.0114117997933
res,res/1-0.BDD,1-0,0.986666666667,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0.493333333333,3.33211996067,2.6550333978,8.35983712631,41.6126666667,0,0,0.431585036292,,0.968389086393,1.74816602528,5.94845719498,0.00792961244958
res,res/1-0.BDD,1-0,0.986666666667,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0,3.87745471265,3.62385648994,11.7271453809,43.7093333333,0,0,0.605425726404,,0.960435634268,1.66615661274,5.75501143254,0.00696486804523
res,res/1-0.BDD,1-0,0.986666666667,res/2-2.BDD,2-2,2.22,2.22,40,10.1626666667,96.7426666667,0.493333333333,4.84715452662,4.03823359509,12.5492753338,47.9026666667,0,0,0.647869015691,,1.07944521474,1.91599970522,5.94845719498,0.00951342680333
res,res/1-0.BDD,1-0,0.986666666667,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0.493333333333,3.87284293324,3.80637246989,8.33819562393,47.1626666667,0,0,0.43046777187,,1.0782964051,1.96671791321,6.31842221564,0.00996483695902
res,res/1-0.BDD,1-0,0.986666666667,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0,3.3656609935,3.11118402988,6.86804659609,39.7626666667,0,0,0.354569843244,,1.05321887684,2.49963756423,12.5763926305,0.0161859274062
res,res/1-2.BDD,1-2,1.23333333333,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.616666666667,4.22457869386,4.47291475196,8.10844001435,33.226,0,0,0.418606406439,,0.954443250478,1.19913536887,7.79713383523,0.00281432383221
res,res/1-2.BDD,1-2,1.23333333333,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.616666666667,4.87225981036,3.66569058982,17.3679889236,43.8326666667,0,0,0.896639972364,,1.02014014285,1.31315513508,5.63970961713,0.00337638440725
