axis,short_path,short_label,short_cycles,long_path,long_label,long_cycles,cycle_gap,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_envelope,max_abs_difference_over_envelope,depth_ranges_above_envelope_mm,correlation_length_change_mm,gradient_median_change_mm_s_per_mm,robust_spread_change_mm_s,zero_fraction_change,hf_share_change,acf_e_folding_lag_change_s
burst_len,burst_len/14.BDD,14,14,burst_len/18.BDD,18,18,4,50,1.85,0,5.27317660998,11.9371796947,41.6126666667,0,0.616268960017,,0,0.0250353403572,-1.50524983897,0.0019028340081,0.00155675716042,0
burst_len,burst_len/14.BDD,14,14,burst_len/20.BDD,20,20,6,50,1.85,0,2.11485774137,5.89180382316,76.7626666667,0,0.304170323945,,1.85,-0.296471135808,0.555784555929,0.00109311740891,-0.00120985598764,0
burst_len,burst_len/14.BDD,14,14,burst_len/24.BDD,24,24,10,50,1.85,0,6.5926774,12.3467051569,74.9126666667,0,0.637411125686,,0,-0.0869648665038,-4.0349227465,0.00295546558704,-0.00954499150784,0
burst_len,burst_len/14.BDD,14,14,burst_len/28.BDD,28,28,14,50,1.85,0,7.8056528168,35.6189646107,10.1626666667,1,1.83886502834,10.1627..10.1627,0,0.133082598741,-3.02939147755,0.0138866396761,-0.0129905132969,0
burst_len,burst_len/14.BDD,14,14,burst_len/32.BDD,32,32,18,50,1.85,0,4.85697198244,19.7181634777,10.1626666667,1,1.01797010773,10.1627..10.1627,1.85,-0.142306145188,1.02198541699,0.00599190283401,-0.00866581830605,0.0223892238794
burst_len,burst_len/16.BDD,16,16,burst_len/18.BDD,18,18,2,50,1.85,0,4.46114612195,12.5977832677,41.6126666667,0,0.650373286781,,0,0.296471135808,-2.15732163157,0.000971659919028,0.013799342217,0
burst_len,burst_len/16.BDD,16,16,burst_len/20.BDD,20,20,4,50,1.85,0,1.88562098857,4.95818327526,82.3126666667,0,0.255971220068,,1.85,-0.0250353403571,-0.096287236663,0.000161943319838,0.0110327290689,0
burst_len,burst_len/16.BDD,16,16,burst_len/24.BDD,24,24,8,50,1.85,0,5.81321393683,10.6647255798,74.9126666667,0,0.550577230973,,0,0.184470928948,-4.68699453909,0.00202429149798,0.00269759354871,0
burst_len,burst_len/16.BDD,16,16,burst_len/28.BDD,28,28,12,50,1.85,0,7.11462735226,35.111933086,10.1626666667,1,1.8126890137,10.1627..10.1627,0,0.404518394192,-3.68146327014,0.012955465587,-0.000747928240305,0
burst_len,burst_len/16.BDD,16,16,burst_len/32.BDD,32,32,16,50,1.85,0,4.09437706807,19.211131953,10.1626666667,0,0.991794093096,,1.85,0.129129650263,0.369913624396,0.00506072874494,0.0035767667505,0.0223892238794
